job_title,1,2,3,4,5,6,7,8,9,10
AI Architect,0,1,3,1,7,5,6,4,5,20
AI Data Scientist,1,0,0,0,0,0,0,0,0,0
AI Developer,2,2,3,3,4,2,3,2,5,5
AI Engineer,15,22,24,25,22,22,26,32,23,26
AI Engineering Manager,0,1,0,0,0,0,0,0,0,0
AI Lead,1,0,1,0,1,0,1,0,2,0
AI Machine Learning Engineer,0,0,0,1,0,0,0,0,0,0
AI Product Manager,0,0,2,1,0,3,1,4,6,3
AI Product Owner,0,0,2,1,0,0,0,0,0,0
AI Programmer,1,0,0,0,0,0,0,1,0,0
AI Research Engineer,1,0,0,0,0,0,0,1,0,0
AI Research Scientist,1,0,0,0,1,1,0,0,0,0
AI Researcher,2,1,0,0,2,5,1,4,5,4
AI Scientist,0,0,1,1,2,6,3,4,3,0
AI Software Development Engineer,1,0,0,0,0,0,0,0,0,0
AI Software Engineer,0,1,1,2,1,0,1,0,2,0
AI Solution Architect,0,0,0,1,1,2,0,3,0,2
AI Specialist,1,2,5,2,2,4,4,0,2,4
Actuarial Analyst,2,0,0,1,1,0,0,0,0,0
Admin & Data Analyst,0,0,2,0,0,0,0,0,0,0
Analyst,71,64,53,37,31,36,18,20,8,2
Analytics Engineer,16,28,28,44,54,40,40,35,33,18
Analytics Lead,1,0,1,1,1,0,1,2,1,0
Applied AI ML Lead,0,0,0,0,0,0,0,0,0,2
Applied Data Scientist,1,0,0,0,0,0,0,0,0,0
Applied Scientist,3,5,9,15,24,26,24,26,34,39
Artificial Intelligence Engineer,3,1,1,3,1,0,2,2,0,1
Associate,48,45,35,25,34,38,25,27,26,6
BI Analyst,11,10,7,4,3,6,0,3,0,0
BI Data Analyst,2,0,0,0,0,0,0,0,0,0
BI Developer,26,16,13,8,4,5,8,2,2,0
BI Engineer,1,5,2,3,5,4,1,0,1,0
Backend Engineer,1,2,3,3,8,7,11,10,8,7
Backend Software Engineer,0,0,0,1,0,0,0,0,0,0
Bear Robotics,1,1,0,1,0,0,0,0,1,0
Big Data Developer,1,0,0,1,0,0,0,0,0,0
Big Data Engineer,3,0,0,0,0,0,0,0,0,0
Bioinformatics Scientist,1,1,0,1,2,1,1,1,1,0
Business Analyst,10,13,15,9,11,7,4,5,2,1
Business Intelligence,14,24,25,17,20,20,19,16,14,7
Business Intelligence Analyst,33,43,38,36,23,19,13,15,6,0
Business Intelligence Consultant,0,1,0,0,1,0,0,0,0,0
Business Intelligence Developer,25,29,18,11,13,10,6,4,2,1
Business Intelligence Engineer,9,25,16,10,10,9,10,13,5,1
Business Intelligence Lead,1,0,3,4,0,4,2,2,0,0
Business Intelligence Manager,0,1,3,6,1,1,2,2,1,1
Business Intelligence Specialist,0,1,3,1,0,0,1,0,1,0
CRM Data Analyst,1,0,0,0,0,0,0,0,0,0
Chatbot Developer,0,0,0,0,0,1,0,1,0,0
Clinical Data Operator,2,0,0,0,0,0,0,0,0,0
Cloud Database Administrator,0,2,0,2,4,0,1,3,0,0
Cloud Database Engineer,2,2,4,1,1,0,2,1,3,0
Cloud Developer,0,0,0,0,0,0,0,0,0,1
Cloud Engineer,1,1,5,4,3,3,4,1,4,2
Computational Biologist,0,0,2,1,0,1,3,2,1,0
Computer Vision Engineer,3,5,1,3,3,2,4,7,7,3
Consultant,21,17,27,13,12,17,7,11,3,1
Consultant Data Engineer,1,0,0,0,0,0,0,0,0,0
Data Analyst,442,328,259,175,159,144,110,63,50,19
Data Analyst Lead,0,0,0,1,0,0,0,0,0,0
Data Analytics Associate,2,1,1,0,1,0,0,0,0,0
Data Analytics Consultant,2,4,3,3,0,1,0,0,0,0
Data Analytics Developer,0,1,0,2,0,1,0,0,0,0
Data Analytics Lead,0,1,4,6,7,5,8,6,7,2
Data Analytics Manager,3,3,6,4,11,6,4,9,2,1
Data Analytics Specialist,4,7,4,2,4,3,1,0,1,0
Data Analytics Team Lead,0,0,0,0,0,0,1,0,0,0
Data Architect,14,29,38,41,33,43,47,38,38,39
Data Developer,4,9,8,2,2,1,3,2,1,0
Data Engineer,184,197,213,205,193,192,213,221,190,141
Data Governance Analyst,3,3,6,4,3,7,2,1,0,0
Data Governance Engineer,0,0,1,2,2,2,0,1,0,1
Data Governance Lead,1,1,2,2,3,4,1,4,3,0
Data Governance Manager,3,1,0,1,1,1,2,0,0,0
Data Governance Specialist,3,3,0,6,2,1,1,2,0,0
Data Infrastructure Engineer,0,0,1,3,4,3,6,6,4,3
Data Integration Analyst,0,1,1,0,1,0,0,0,0,0
Data Integration Coordinator,1,1,0,0,0,0,0,0,0,0
Data Integration Developer,1,0,2,1,0,1,1,1,0,0
Data Integration Engineer,2,2,5,2,5,4,4,0,1,1
Data Integration Specialist,4,2,6,1,0,0,0,0,1,0
Data Integrity Analyst,4,1,0,0,2,0,1,0,0,0
Data Lead,3,7,3,5,6,2,2,4,2,1
Data Management Analyst,12,12,6,5,2,6,3,1,0,0
Data Management Associate,0,1,0,1,0,0,0,0,0,0
Data Management Consultant,0,3,1,0,0,0,0,0,0,0
Data Management Lead,3,2,2,0,0,1,0,0,0,0
Data Management Manager,0,3,1,0,0,0,0,1,0,0
Data Management Specialist,15,7,3,7,2,3,0,1,0,0
Data Manager,52,29,28,26,10,12,12,8,2,0
Data Modeler,2,2,9,6,7,2,3,1,2,2
Data Operations Analyst,9,10,4,4,3,1,2,1,0,0
Data Operations Associate,6,5,2,0,1,0,0,0,0,0
Data Operations Engineer,1,3,1,0,4,0,1,0,1,0
Data Operations Lead,0,0,0,1,0,0,0,0,0,0
Data Operations Manager,0,1,5,2,2,3,0,1,2,0
Data Operations Specialist,3,2,0,2,1,1,1,0,0,0
Data Pipeline Engineer,0,0,0,0,0,0,2,0,0,0
Data Product Analyst,0,0,1,0,0,0,1,0,0,0
Data Product Manager,3,7,6,5,8,11,10,8,11,1
Data Product Owner,2,1,10,2,4,3,1,1,2,1
Data Quality Analyst,9,8,6,4,3,3,0,2,0,0
Data Quality Engineer,2,3,1,2,4,1,0,1,1,0
Data Quality Lead,1,0,0,3,0,0,1,3,1,0
Data Quality Manager,5,1,0,3,0,2,1,0,0,0
Data Quality Specialist,2,1,2,1,2,1,0,1,0,0
Data Reporting Analyst,13,6,1,0,1,0,0,0,0,0
Data Scientist,183,188,231,211,208,230,231,243,241,216
Data Scientist Lead,0,1,0,0,0,0,0,0,0,0
Data Specialist,70,35,18,15,5,1,8,4,1,2
Data Strategist,1,2,2,3,4,1,2,3,1,0
Data Strategy Lead,0,0,2,2,0,0,1,0,1,0
Data Strategy Manager,0,0,1,0,0,0,0,1,0,0
Data Team Lead,0,1,4,2,0,1,2,0,0,0
Data Visualization Analyst,4,6,5,0,3,4,1,0,0,0
Data Visualization Developer,2,1,2,0,0,0,0,1,0,0
Data Visualization Engineer,2,4,0,1,0,2,2,1,1,0
Data Visualization Specialist,3,5,5,0,5,0,3,0,0,0
DataOps Engineer,0,1,0,0,0,1,2,0,0,0
Databricks Engineer,0,0,1,0,0,0,0,0,1,0
Decision Scientist,0,6,6,7,4,8,7,8,1,3
DevOps Engineer,5,14,19,7,11,14,8,8,6,5
Director of Business Intelligence,0,0,0,0,0,0,1,1,0,0
Director of Machine Learning,0,0,0,0,0,0,2,4,1,2
ETL Developer,2,2,2,1,3,2,1,0,1,0
ETL Engineer,1,0,0,0,1,0,0,0,0,0
Elasticsearch Administrator,1,0,0,0,1,0,0,0,0,0
Encounter Data Management Professional,7,1,2,0,0,0,0,0,0,0
Engineer,82,94,90,103,96,85,108,102,116,136
Engineering Manager,0,1,1,4,5,8,13,15,29,69
Enterprise Account Executive,0,0,0,0,0,0,0,0,2,6
Frontend Engineer,0,0,0,0,3,0,1,1,0,3
Full Stack Developer,4,2,3,3,1,1,1,3,0,1
Full Stack Engineer,1,2,2,5,8,8,4,5,3,2
Fullstack Engineer,0,0,2,1,1,2,2,1,5,0
Head of AI,0,0,0,0,0,0,1,2,3,3
Head of Data,1,0,2,1,1,3,6,12,15,20
Head of Machine Learning,0,0,0,0,0,0,0,1,1,3
Infrastructure Engineer,0,0,0,1,0,3,3,3,0,3
Insight Analyst,18,5,4,1,1,0,0,1,0,1
Lead AI Engineer,0,1,0,0,0,0,0,0,0,0
Lead Data Analyst,1,0,0,0,0,0,0,0,0,0
Lead Data Scientist,0,0,1,0,0,0,0,0,0,0
Lead Engineer,0,0,1,1,0,5,6,3,5,2
Lead Machine Learning Engineer,0,1,0,0,0,0,0,0,0,0
ML Infrastructure Engineer,0,0,0,3,1,2,0,1,2,6
MLOps Engineer,0,4,5,10,1,5,8,7,4,5
Machine Learning Architect,0,0,0,1,1,1,2,1,0,2
Machine Learning Developer,2,2,2,0,2,1,0,1,0,2
Machine Learning Engineer,28,43,65,98,124,112,122,160,170,215
Machine Learning Infrastructure Engineer,0,0,0,1,0,0,3,0,2,2
Machine Learning Lead,0,0,0,1,0,0,0,0,0,0
Machine Learning Manager,0,0,0,0,1,2,0,0,2,3
Machine Learning Model Engineer,0,0,0,0,1,0,0,0,2,2
Machine Learning Modeler,0,0,0,0,3,0,0,1,2,0
Machine Learning Performance Engineer,0,0,0,0,0,0,1,0,0,1
Machine Learning Platform Engineer,0,0,0,0,1,1,3,2,3,3
Machine Learning Quality Engineer,0,0,1,2,1,0,0,2,1,0
Machine Learning Research Engineer,0,1,0,0,0,0,0,0,0,0
Machine Learning Researcher,0,1,4,2,6,4,5,8,5,5
Machine Learning Scientist,2,6,7,7,17,8,16,9,12,14
Machine Learning Specialist,0,0,0,0,0,1,0,0,0,0
Machine Vision Engineer,1,0,1,0,0,0,0,0,0,0
Manager,36,49,75,73,77,76,69,84,80,103
Manager Data Management,1,0,0,0,0,0,0,0,0,0
Marketing Analyst,0,1,1,0,0,0,0,0,0,0
Marketing Analytics Manager,0,1,0,0,1,0,0,0,0,0
Master Data Management,2,0,0,0,0,0,0,1,1,0
Master Data Specialist,0,2,0,0,0,0,0,0,0,0
Member of Technical Staff,0,0,1,1,0,0,2,1,0,0
NLP Engineer,0,0,0,0,0,1,1,1,0,0
People Data Analyst,1,0,0,0,0,0,0,0,0,0
Platform Engineer,4,5,6,6,14,4,8,9,9,12
Power BI Architect,0,1,0,0,1,0,0,0,0,0
Power BI Consultant,0,0,1,1,0,0,0,0,0,0
Power BI Developer,5,5,5,1,1,0,1,0,0,0
Pricing Analyst,1,1,0,0,0,0,0,0,0,0
Principal Application Delivery Consultant,0,0,0,1,0,0,0,0,1,0
Principal Statistical Programmer,0,0,1,1,1,0,1,1,2,0
Product Analyst,1,10,5,2,2,6,3,3,2,1
Product Designer,0,2,2,1,0,0,0,0,1,0
Product Manager,2,11,23,28,31,51,35,33,45,52
Prompt Engineer,0,0,2,2,2,0,4,4,4,5
Python Developer,1,4,5,3,2,1,0,1,0,0
QA Engineer,0,1,1,0,2,0,0,0,1,1
Quantitative Analyst,1,2,3,1,2,3,4,4,1,1
Quantitative Research Analyst,1,0,0,0,0,0,0,0,0,0
Quantitative Researcher,1,2,1,1,1,6,1,5,2,1
Research Analyst,26,21,19,11,9,14,10,7,6,6
Research Assistant,7,2,1,1,0,0,0,0,0,0
Research Associate,9,2,1,1,0,0,0,0,0,0
Research Engineer,15,16,17,17,33,37,39,36,44,74
Research Scientist,9,21,28,35,51,38,72,77,87,109
Robotics Engineer,4,5,2,3,2,7,3,2,2,4
Robotics Software Engineer,0,0,0,0,2,2,1,3,2,1
SAS Developer,0,1,0,0,0,0,0,1,0,0
Security Engineer,0,0,0,5,7,4,4,3,9,5
Site Reliability Engineer,0,1,3,11,9,11,12,10,12,20
Software Developer,18,14,19,11,9,13,7,8,11,4
Software Development Engineer,2,8,8,19,11,11,17,14,13,19
Software Engineer,49,66,91,105,151,173,175,192,211,218
Solution Architect,1,0,1,1,5,3,2,2,6,4
Solution Engineer,0,0,0,0,0,0,2,0,0,0
Solutions Architect,1,7,3,12,12,10,14,7,15,18
Solutions Engineer,1,1,11,6,7,5,4,12,8,9
Stage,1,0,0,0,0,0,0,0,0,0
Statistical Programmer,4,4,4,2,1,1,3,0,2,1
Statistician,2,1,2,0,1,2,1,0,1,0
Systems Engineer,3,6,13,14,13,11,17,14,12,9
Technical Lead,0,2,1,3,3,2,0,2,1,5
Technical Specialist,0,0,0,1,0,0,0,0,1,0
